id_corso;materia;data;ora_inizio;ora_fine;luogo;compenso_orario;stato;fatturato;mese_fatturato;ore_fatturate;cliente
GOL sezione 3;GOL sezione 3;05/04/2025;08:00;14:00;Lecce;30.0;Completato;0;;0.0;forumlab
GOL sezione 3;GOL sezione 3;12/04/2025;08:00;14:00;Lecce;30.0;Completato;0;;0.0;forumlab
IC PARABITA - PRIMARIA QUARTE 2;IC PARABITA - PRIMARIA QUARTE 2;13/03/2025;10:10;12:10;Parabita;30.0;Completato;1;2025-04;2.0;dedalos
IC PARABITA - PRIMARIA QUARTE 2;IC PARABITA - PRIMARIA QUARTE 2;25/03/2025;08:10;11:10;Parabita;30.0;Completato;1;2025-04;3.0;dedalos
IC PARABITA - PRIMARIA QUARTE 2;IC PARABITA - PRIMARIA QUARTE 2;27/03/2025;08:10;11:10;Parabita;30.0;Completato;1;2025-04;3.0;dedalos
IC PARABITA - PRIMARIA QUARTE 2;IC PARABITA - PRIMARIA QUARTE 2;08/04/2025;11:10;12:10;Parabita;30.0;Completato;0;;0.0;dedalos
IC PARABITA - PRIMARIA QUARTE 2;IC PARABITA - PRIMARIA QUARTE 2;09/04/2025;08:10;11:10;Parabita;30.0;Completato;0;;0.0;dedalos
IC PARABITA - PRIMARIA QUARTE 2;IC PARABITA - PRIMARIA QUARTE 2;10/04/2025;11:10;12:10;Parabita;30.0;Completato;0;;0.0;dedalos
IC PARABITA - PRIMARIA QUARTE 2;IC PARABITA - PRIMARIA QUARTE 2;14/04/2025;08:10;11:10;Parabita;30.0;Completato;0;;0.0;dedalos
IC PARABITA - PRIMARIA QUARTE 2;IC PARABITA - PRIMARIA QUARTE 2;28/04/2025;11:10;12:10;Parabita;30.0;Completato;0;;0.0;dedalos
IC PARABITA - PRIMARIA QUARTE 2;IC PARABITA - PRIMARIA QUARTE 2;29/04/2025;08:10;11:10;Parabita;30.0;Completato;0;;0.0;dedalos
IC PARABITA - PRIMARIA QUARTE 2;IC PARABITA - PRIMARIA QUARTE 2;30/04/2025;11:10;12:10;Parabita;30.0;Completato;0;;0.0;dedalos
IC PARABITA - PRIMARIA QUARTE 2;IC PARABITA - PRIMARIA QUARTE 2;05/05/2025;08:10;11:10;Parabita;30.0;Completato;0;;0.0;dedalos
IC PARABITA - PRIMARIA QUINTE 2;IC PARABITA - PRIMARIA QUINTE 2;12/03/2025;08:10;13:10;Parabita;30.0;Completato;1;2025-04;5.0;dedalos
IC PARABITA - PRIMARIA QUINTE 2;IC PARABITA - PRIMARIA QUINTE 2;13/03/2025;08:10;10:10;Parabita;30.0;Completato;1;2025-04;2.0;dedalos
IC PARABITA - PRIMARIA QUINTE 2;IC PARABITA - PRIMARIA QUINTE 2;25/03/2025;11:10;12:10;Parabita;30.0;Completato;1;2025-04;1.0;dedalos
IC PARABITA - PRIMARIA QUINTE 2;IC PARABITA - PRIMARIA QUINTE 2;27/03/2025;11:10;12:10;Parabita;30.0;Completato;1;2025-04;1.0;dedalos
IC PARABITA - PRIMARIA QUINTE 2;IC PARABITA - PRIMARIA QUINTE 2;08/04/2025;08:10;11:10;Parabita;30.0;Completato;0;;0.0;dedalos
IC PARABITA - PRIMARIA QUINTE 2;IC PARABITA - PRIMARIA QUINTE 2;09/04/2025;11:10;12:10;Parabita;30.0;Completato;0;;0.0;dedalos
IC PARABITA - PRIMARIA QUINTE 2;IC PARABITA - PRIMARIA QUINTE 2;10/04/2025;08:10;11:10;Parabita;30.0;Completato;0;;0.0;dedalos
IC PARABITA - PRIMARIA QUINTE 2;IC PARABITA - PRIMARIA QUINTE 2;14/04/2025;11:10;12:10;Parabita;30.0;Completato;0;;0.0;dedalos
IC PARABITA - PRIMARIA QUINTE 2;IC PARABITA - PRIMARIA QUINTE 2;28/04/2025;08:10;11:10;Parabita;30.0;Completato;0;;0.0;dedalos
IC PARABITA - PRIMARIA QUINTE 2;IC PARABITA - PRIMARIA QUINTE 2;29/04/2025;11:10;12:10;Parabita;30.0;Completato;0;;0.0;dedalos
IC PARABITA - PRIMARIA QUINTE 2;IC PARABITA - PRIMARIA QUINTE 2;30/04/2025;08:10;11:10;Parabita;30.0;Completato;0;;0.0;dedalos
IC PARABITA - PRIMARIA QUINTE 2;IC PARABITA - PRIMARIA QUINTE 2;05/05/2025;11:10;12:10;Parabita;30.0;Completato;0;;0.0;dedalos
IC PARABITA - PRIMARIA QUARTE 2;IC PARABITA - PRIMARIA QUARTE 2;23/04/2025;08:10;11:10;Parabita;30.0;Completato;0;;0.0;dedalos
IC PARABITA - PRIMARIA QUARTE 2;IC PARABITA - PRIMARIA QUARTE 2;12/05/2025;08:10;11:10;Parabita;30.0;Completato;0;;0.0;dedalos
IC PARABITA - PRIMARIA QUINTE 2;IC PARABITA - PRIMARIA QUINTE 2;24/04/2025;08:10;11:10;Parabita;30.0;Completato;0;;0.0;dedalos
IC PARABITA - PRIMARIA QUINTE 2;IC PARABITA - PRIMARIA QUINTE 2;13/05/2025;09:10;12:10;Parabita;30.0;Completato;0;;0.0;dedalos
Coding e robotica SECONDA MEDIA;Coding e robotica SECONDA MEDIA;12/12/2024;16:30;17:30;GALATINA PRIMO POLO;30.0;Completato;1;2024/12;1.0;dedalos
Coding e robotica SECONDA MEDIA;Coding e robotica SECONDA MEDIA;12/12/2024;14:30;15:30;GALATINA PRIMO POLO;30.0;Completato;1;2024/12;1.0;dedalos
Coding e robotica SECONDA MEDIA;Coding e robotica SECONDA MEDIA;12/12/2024;15:30;16:30;GALATINA PRIMO POLO;30.0;Completato;1;2024/12;1.0;dedalos
Coding e robotica TERZA MEDIA4;Coding e robotica TERZA MEDIA4;13/12/2024;16:30;17:30;GALATINA PRIMO POLO;30.0;Completato;1;2024/12;1.0;dedalos
Coding e robotica TERZA MEDIA4;Coding e robotica TERZA MEDIA4;13/12/2024;15:30;16:30;GALATINA PRIMO POLO;30.0;Completato;1;2024/12;1.0;dedalos
Coding e robotica TERZA MEDIA4;Coding e robotica TERZA MEDIA4;13/12/2024;14:30;15:30;GALATINA PRIMO POLO;30.0;Completato;1;2024/12;1.0;dedalos
Coding e robotica SECONDA MEDIA;Coding e robotica SECONDA MEDIA;09/01/2025;14:30;15:30;GALATINA PRIMO POLO;30.0;Completato;1;2025/01;1.0;dedalos
Coding e robotica SECONDA MEDIA;Coding e robotica SECONDA MEDIA;09/01/2025;15:30;16:30;GALATINA PRIMO POLO;30.0;Completato;1;2025/01;1.0;dedalos
Coding e robotica SECONDA MEDIA;Coding e robotica SECONDA MEDIA;09/01/2025;16:30;17:30;GALATINA PRIMO POLO;30.0;Completato;1;2025/01;1.0;dedalos
Coding e robotica SECONDA MEDIA;Coding e robotica SECONDA MEDIA;16/01/2025;15:00;16:00;GALATINA PRIMO POLO;30.0;Completato;1;2025/01;1.0;dedalos
Coding e robotica SECONDA MEDIA;Coding e robotica SECONDA MEDIA;16/01/2025;14:00;15:00;GALATINA PRIMO POLO;30.0;Completato;1;2025/01;1.0;dedalos
Coding e robotica SECONDA MEDIA;Coding e robotica SECONDA MEDIA;16/01/2025;16:00;17:00;GALATINA PRIMO POLO;30.0;Completato;1;2025/01;1.0;dedalos
Coding e robotica TERZA MEDIA4;Coding e robotica TERZA MEDIA4;17/01/2025;14:30;15:30;GALATINA PRIMO POLO;30.0;Completato;1;2025/01;1.0;dedalos
Coding e robotica TERZA MEDIA4;Coding e robotica TERZA MEDIA4;17/01/2025;15:30;16:30;GALATINA PRIMO POLO;30.0;Completato;1;2025/01;1.0;dedalos
Coding e robotica TERZA MEDIA4;Coding e robotica TERZA MEDIA4;17/01/2025;16:30;17:30;GALATINA PRIMO POLO;30.0;Completato;1;2025/01;1.0;dedalos
Coding e robotica SECONDA MEDIA;Coding e robotica SECONDA MEDIA;23/01/2025;14:30;15:30;GALATINA PRIMO POLO;30.0;Completato;1;2025/01;1.0;dedalos
Coding e robotica SECONDA MEDIA;Coding e robotica SECONDA MEDIA;23/01/2025;15:30;16:30;GALATINA PRIMO POLO;30.0;Completato;1;2025/01;1.0;dedalos
Coding e robotica SECONDA MEDIA;Coding e robotica SECONDA MEDIA;23/01/2025;16:30;17:30;GALATINA PRIMO POLO;30.0;Completato;1;2025/01;1.0;dedalos
Coding e robotica TERZA MEDIA4;Coding e robotica TERZA MEDIA4;24/01/2025;14:30;15:30;GALATINA PRIMO POLO;30.0;Completato;1;2025/01;1.0;dedalos
Coding e robotica TERZA MEDIA4;Coding e robotica TERZA MEDIA4;24/01/2025;15:30;16:30;GALATINA PRIMO POLO;30.0;Completato;1;2025/01;1.0;dedalos
Coding e robotica TERZA MEDIA4;Coding e robotica TERZA MEDIA4;24/01/2025;16:30;17:30;GALATINA PRIMO POLO;30.0;Completato;1;2025/01;1.0;dedalos
Coding e robotica SECONDA MEDIA;Coding e robotica SECONDA MEDIA;13/02/2025;14:30;15:30;GALATINA PRIMO POLO;30.0;Completato;1;2025/02;1.0;dedalos
Coding e robotica SECONDA MEDIA;Coding e robotica SECONDA MEDIA;13/02/2025;15:30;16:30;GALATINA PRIMO POLO;30.0;Completato;1;2025/02;1.0;dedalos
Coding e robotica SECONDA MEDIA;Coding e robotica SECONDA MEDIA;13/02/2025;16:30;17:30;GALATINA PRIMO POLO;30.0;Completato;1;2025/02;1.0;dedalos
Coding e robotica TERZA MEDIA4;Coding e robotica TERZA MEDIA4;14/02/2025;14:30;15:30;GALATINA PRIMO POLO;30.0;Completato;1;2025/02;1.0;dedalos
Coding e robotica TERZA MEDIA4;Coding e robotica TERZA MEDIA4;14/02/2025;15:30;16:30;GALATINA PRIMO POLO;30.0;Completato;1;2025/02;1.0;dedalos
Coding e robotica TERZA MEDIA4;Coding e robotica TERZA MEDIA4;14/02/2025;16:30;17:30;GALATINA PRIMO POLO;30.0;Completato;1;2025/02;1.0;dedalos
Coding e robotica SECONDA MEDIA;Coding e robotica SECONDA MEDIA;20/02/2025;14:30;15:30;GALATINA PRIMO POLO;30.0;Completato;1;2025/02;1.0;dedalos
Coding e robotica SECONDA MEDIA;Coding e robotica SECONDA MEDIA;20/02/2025;15:30;16:30;GALATINA PRIMO POLO;30.0;Completato;1;2025/02;1.0;dedalos
Coding e robotica SECONDA MEDIA;Coding e robotica SECONDA MEDIA;20/02/2025;16:30;17:30;GALATINA PRIMO POLO;30.0;Completato;1;2025/02;1.0;dedalos
Coding e robotica TERZA MEDIA4;Coding e robotica TERZA MEDIA4;21/02/2025;14:30;15:30;GALATINA PRIMO POLO;30.0;Completato;1;2025/02;1.0;dedalos
Coding e robotica TERZA MEDIA4;Coding e robotica TERZA MEDIA4;21/02/2025;15:30;16:30;GALATINA PRIMO POLO;30.0;Completato;1;2025/02;1.0;dedalos
Coding e robotica TERZA MEDIA4;Coding e robotica TERZA MEDIA4;21/02/2025;16:30;17:30;GALATINA PRIMO POLO;30.0;Completato;1;2025/02;1.0;dedalos
Coding e robotica SECONDA MEDIA;Coding e robotica SECONDA MEDIA;27/02/2025;14:30;15:30;GALATINA PRIMO POLO;30.0;Completato;1;2025/02;1.0;dedalos
Coding e robotica SECONDA MEDIA;Coding e robotica SECONDA MEDIA;27/02/2025;15:30;16:30;GALATINA PRIMO POLO;30.0;Completato;1;2025/02;1.0;dedalos
Coding e robotica SECONDA MEDIA;Coding e robotica SECONDA MEDIA;27/02/2025;16:30;17:30;GALATINA PRIMO POLO;30.0;Completato;1;2025/02;1.0;dedalos
Coding e robotica TERZA MEDIA4;Coding e robotica TERZA MEDIA4;28/02/2025;14:30;15:30;GALATINA PRIMO POLO;30.0;Completato;1;2025/02;1.0;dedalos
Coding e robotica TERZA MEDIA4;Coding e robotica TERZA MEDIA4;28/02/2025;15:30;16:30;GALATINA PRIMO POLO;30.0;Completato;1;2025/02;1.0;dedalos
Coding e robotica TERZA MEDIA4;Coding e robotica TERZA MEDIA4;28/02/2025;16:30;17:30;GALATINA PRIMO POLO;30.0;Completato;1;2025/02;1.0;dedalos
Coding e robotica SECONDA MEDIA;Coding e robotica SECONDA MEDIA;20/03/2025;14:30;15:30;GALATINA PRIMO POLO;30.0;Completato;1;2025-04;1.0;dedalos
